,radx_project,project_title,awardee,project_number,pNum_link,foa,foa_link,summary
0,RADx-UP,Safer At School Early Alert (SASEA),University of California San Diego,1U01HD108787-01,https://reporter.nih.gov/search/44g5CsIy-EGIvKlnlFwXrA/project-details/10447530,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This project plans to expand, evaluate, and improve the Safer at School Early Alert (SASEA) program, which uses daily wastewater and surface monitoring to detect asymptomatic SARS-CoV-2 infections among students and staff in select areas in San Diego County. The project will be extended to four large clusters of schools across the county. The proposed work will also include development of the SASEA School Neighborhood Asset Portal (SNAP) to enhance program functionality."
1,RADx-UP,"Sin Duda: a community-driven approach to expand reach, access, and uptake of COVID-19 home-based tests for at risk Latinos",Johns Hopkins University,1U01MD017412-01,https://reporter.nih.gov/search/KxUeA7_GskO4nPIeKkGjww/project-details/10445509,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This project will expand on their Phase 1 project to implement and evaluate innovative implementation strategies to increase reach, access, and uptake of COVID-19 home based self-testing (HST) among low-income Latinos in Maryland by expanding the reach and uptake of HST and studying the linkage to care for those who test positive or for unvaccinated people who test negative."
2,RADx-UP,Using the multiphase optimization strategy (MOST) to optimize an intervention to increase COVID-19 testing for Black and Latino/Hispanic frontline essential workers,New York University,1U01MD017418-01,https://reporter.nih.gov/search/HI_N1l8IJEunmcSo0Y-8Mw/project-details/10447429,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,This study addresses community-engaged interventions to support COVID-19 testing in the large population of frontline essential workers in lower status occupations with the goal of boosting COVID-19 testing rates for Black and Latino/Hispanic frontline essential workers by using a multiphase optimization strategy framework.
3,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,University of Chicago,1U01MD017414-01,https://reporter.nih.gov/search/DIQGq754ekySmhod3DZxqg/project-details/10447453,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This study will test the efficacy of an implemented situation of an appropriate COVID-19 testing and vaccination social network diffusion intervention against existing COVID-19 testing and vaccine linkage. The study will explore the mechanisms for differential intervention effects at the individual and network level that affect testing and vaccine uptake, and examine the reach, effectiveness, adoption, and maintenance components of the intervention."
4,RADx-UP,Motivational enhancement to augment contingency management for SARS-CoV-2 testing and vaccination utilization among syringe exchange clients,University of Oregon,1U01DA055982-01,https://reporter.nih.gov/search/xV5Tg1M_dkWjeWUqQ2FpOw/project-details/10447247,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This study will be a randomized comparative effectiveness trial examining contingency management as compared to contingency management plus enhanced motivational interviewing for people who inject drugs (PWIDs), a population highly vulnerable to contracting COVID-19 and suffering adverse effects heightened by underlying medical conditions and social factors, such a lack of stable housing."
5,RADx-UP,SCALE UP Utah II: Community-Academic Partnership to Address COVID-19 Testing and Vaccination Among Utah Community Health Centers,University of Utah,1U01MD017421-01,https://reporter.nih.gov/search/OfAhUkBFe0aI8eeRcMAQjA/project-details/10444656,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,This project will leverage their Phase I study partnerships and flexible text messaging outreach and patient navigation infrastructure with community health centers to investigate three population health management interventions at the interface between COVID-19 vaccination and testing.
6,RADx-UP,Puerto Rico Community Action Research and Engagement (PR-CARE) to Eliminate Disparities in Diagnostic of COVID-19 among Rural Underserved and Vulnerable Populations,University of Puerto Rico Medical Sciences Campus,1U01MD017426-01,https://reporter.nih.gov/search/49YzqHbhlESTtOo6Zt5eUg/project-details/10447427,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,The project identifies risk factors to COVID-19 testing and vaccine uptake for disadvantaged elderly communities in Puerto Rico through the Puerto Rico Community Action Research and Engagement (PR-CARE) initiative. The study will examine how multi-domain social determinants of health affect testing and vaccine uptake in socially vulnerable elderly populations in Puerto Rico. It aims to create permanent health policy pathways that increase health services for vulnerable populations by utilizing mobile units for COVID-19 testing and exploring participants’ willingness to be tested.
7,RADx-UP,SARS-COV-2 Screening in Dialysis Facilities: Building an Optimal Strategy to Protect High Risk Populations,Stanford University,1U01AI169477-01,https://reporter.nih.gov/search/QdGnbIKBAUWv7cUaO2HWWg/project-details/10447527,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"The project builds on an existing partnership in dialysis facilities to implement and compare two test-based universal screening strategies and assess vaccine effectiveness. The study will also examine the infection rates of patients post-vaccination in order to devise effective screening strategies, inform vaccine doses or formulations, and protect the health of patients receiving dialysis during this pandemic."
8,RADx-UP,Community-Engaged Research on COVID-19 Testing Among Underserved and/or Vulnerable Populations Phase II,Florida International University,1U01MD017423-01,https://reporter.nih.gov/search/s1AZy1fggkGBJN_PiREU3A/project-details/10447463,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This longitudinal study employs new recruitment strategies with community partners to increase the reach of testing through RADx-UP community-engaged research by assessing changes in infection and vaccination status, studying how vaccine availability affects attitudes, beliefs and behaviors to testing, understanding changes in social demographics of health and the impact on COVID-19 testing and vaccine uptake, and the relationship between vaccine hesitancy and mental health."
9,RADx-UP,"Localized mHealth approach to boosting COVID-19 testing and vaccine literacy, access, and uptake among women with criminal legal system involvement",University of Kansas Medical Center,1U01MD017415-01,https://reporter.nih.gov/search/FWzwWhMjb0ai_cSG74AL5g/project-details/10444761,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This project will work to rapidly develop an mHealth intervention focused on COVID-19 literacy to study regional and individual differences in COVID-19 testing and vaccine literacy, access, and uptake. The intervention will be implemented with criminal legal system involved (CLSI) women in the three cities to boost COVID-19 literacy, testing, and uptake, and vaccination. They will be using their discoveries to develop dissemination strategies with stakeholders to push the mobile health technologies intervention to the millions of people who interface with the criminal legal system annually in the U.S."
